"Function"	"A1HF"	"A1LF"	"A2HF"	"A2LF"	"B1HF"	"B1LF"	"B2HF"	"B2LF"	"C1HF"	"C1LF"	"C2HF"	"C2LF"
"1-phosphatidylinositol-4-phosphate 3-kinase activity [GO:0035005]"	1	7	1	2	4	0	3	2	3	7	9	4
"1-phosphatidylinositol-4-phosphate 5-kinase activity [GO:0016308]"	0	1	0	0	1	0	0	0	0	1	1	2
"1-phosphatidylinositol-5-kinase activity [GO:0052810]"	0	0	0	0	0	0	0	0	0	1	0	1
"1-phosphofructokinase activity [GO:0008662]"	25	26	21	67	52	54	24	69	52	12	46	33
"1-pyrroline-5-carboxylate dehydrogenase activity [GO:0003842]"	8	8	7	8	12	11	12	16	9	8	6	11
"1,2-diacylglycerol 3-glucosyltransferase activity [GO:0047228]"	0	0	0	0	0	0	0	1	0	0	0	0
"1,3-beta-galactosyl-N-acetylhexosamine phosphorylase activity [GO:0050500]"	13	23	13	33	22	31	14	34	19	2	20	24
"1,3-propanediol dehydrogenase activity [GO:0047516]"	1	1	1	3	6	2	1	2	5	0	5	0
"1,4-alpha-glucan branching enzyme activity (using a glucosylated glycogenin as primer for glycogen synthesis) [GO:0102752]"	78	132	69	228	172	184	100	212	133	64	146	126
"1,4-alpha-glucan branching enzyme activity [GO:0003844]"	82	142	78	251	186	204	114	246	146	70	156	144
"1,4-alpha-oligoglucan phosphorylase activity [GO:0004645]"	43	78	35	132	69	104	56	138	53	25	51	84
"1,4-dihydroxy-2-naphthoate octaprenyltransferase activity [GO:0046428]"	6	8	8	7	7	7	7	8	7	7	7	7
"1,4-dihydroxy-2-naphthoyl-CoA synthase activity [GO:0008935]"	7	9	8	12	12	10	14	13	11	6	10	11
"1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming) activity [GO:0033712]"	8	9	5	22	8	12	4	12	9	2	5	6
"11-beta-hydroxysteroid dehydrogenase (NADP+) activity [GO:0070524]"	0	0	0	0	0	0	0	0	1	0	0	0
"11-beta-hydroxysteroid dehydrogenase [NAD(P)] activity [GO:0003845]"	0	0	0	0	0	0	0	0	1	0	0	0
"11-cis retinal binding [GO:0005502]"	0	0	0	0	1	0	0	0	0	1	1	0
"12-hydroxyheptadecatrienoic acid synthase activity [GO:0036134]"	0	1	0	0	0	0	0	0	0	0	0	0
"13-prostaglandin reductase activity [GO:0036132]"	0	2	1	0	2	0	2	1	1	2	1	1
"14-3-3 protein binding [GO:0071889]"	1	3	1	0	2	0	5	0	2	5	2	3
"15-oxoprostaglandin 13-oxidase activity [GO:0047522]"	0	2	1	0	2	0	2	1	1	2	1	1
"16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase activity [GO:0052908]"	33	50	33	119	82	98	42	108	70	26	55	66
"16S rRNA (guanine(1207)-N(2))-methyltransferase activity [GO:0052914]"	0	1	0	0	0	0	0	0	0	0	0	1
"16S rRNA (guanine(966)-N(2))-methyltransferase activity [GO:0052913]"	11	13	10	44	19	29	13	38	22	14	14	19
"17-beta-hydroxysteroid dehydrogenase (NAD+) activity [GO:0044594]"	0	0	0	0	0	0	3	0	0	1	1	1
"17-beta-hydroxysteroid dehydrogenase (NADP+) activity [GO:0072582]"	0	1	0	0	0	0	2	0	0	1	1	0
"17-beta-ketosteroid reductase activity [GO:0072555]"	0	1	0	0	0	0	0	0	0	0	0	0
"2 iron, 2 sulfur cluster binding [GO:0051537]"	239	261	195	638	390	458	269	571	347	160	359	295
"2-(3-amino-3-carboxypropyl)histidine synthase activity [GO:0090560]"	0	3	0	0	0	1	2	0	1	2	2	1
"2-(R)-hydroxypropyl-CoM dehydrogenase activity [GO:0050574]"	0	1	0	2	1	1	0	0	0	0	0	0
"2-acylglycerol O-acyltransferase activity [GO:0003846]"	0	0	0	0	0	0	0	0	0	1	0	0
"2-alkenal reductase [NAD(P)+] activity [GO:0032440]"	0	0	1	0	2	0	1	3	1	0	1	0
"2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity [GO:0003848]"	18	31	14	45	32	43	17	49	29	16	23	31
"2-aminoadipate transaminase activity [GO:0047536]"	0	5	1	13	0	6	2	14	3	2	0	8
"2-aminoethylphosphonate-pyruvate transaminase activity [GO:0047304]"	3	5	4	15	11	11	3	15	6	8	6	9
"2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase activity [GO:0008685]"	29	29	24	91	51	59	39	83	45	17	42	40
"2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity [GO:0050518]"	35	50	30	124	65	90	45	118	60	32	65	68
"2-dehydro-3-deoxy-6-phosphogalactonate aldolase activity [GO:0008674]"	4	1	3	6	5	1	2	5	3	1	4	4
"2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase activity [GO:0047001]"	6	3	3	6	5	4	0	5	6	0	7	1
"2-dehydro-3-deoxy-phosphogluconate aldolase activity [GO:0008675]"	23	32	16	81	50	56	35	66	52	19	41	33
"2-dehydro-3-deoxygalactonokinase activity [GO:0008671]"	6	4	4	10	7	4	4	6	1	1	5	6
"2-dehydro-3-deoxyglucarate aldolase activity [GO:0008672]"	1	0	0	2	0	0	0	1	0	0	0	0
"2-dehydro-3-deoxygluconokinase activity [GO:0008673]"	6	2	3	10	6	9	4	7	3	2	6	2
"2-dehydropantoate 2-reductase activity [GO:0008677]"	18	26	22	52	30	38	22	40	33	11	36	25
"2-deoxy-D-gluconate 3-dehydrogenase activity [GO:0008678]"	2	2	2	4	4	5	2	6	3	0	2	0
"2-deoxyglucose-6-phosphatase activity [GO:0003850]"	0	0	1	1	1	2	1	0	0	0	0	0
"2-deoxystreptamine N-acetyl-D-glucosaminyltransferase activity [GO:0102319]"	0	0	0	1	0	0	0	0	0	0	0	0
"2-enoate reductase activity [GO:0047540]"	3	1	3	8	2	4	2	3	2	1	1	3
"2-hydroxy-3-keto-5-methylthiopentenyl-1-phosphate phosphatase activity [GO:0043716]"	1	0	0	0	1	0	1	0	1	0	0	0
"2-hydroxy-3-oxopropionate reductase activity [GO:0008679]"	8	6	9	13	14	20	13	15	13	2	15	8
"2-hydroxymethylglutarate dehydrogenase activity [GO:0043718]"	1	0	1	0	1	0	1	0	0	0	1	0
"2-hydroxypropyl-CoM lyase activity [GO:0050555]"	0	0	0	1	0	0	0	0	0	0	0	0
"2-iminoacetate synthase activity [GO:0036355]"	2	5	3	16	6	8	3	9	6	6	5	4
"2-iminobutanoate deaminase activity [GO:0120242]"	0	1	0	0	0	0	0	0	0	0	0	1
"2-iminobutanoate/2-iminopropanoate deaminase [GO:0120241]"	0	0	1	3	0	3	0	2	1	0	0	2
"2-iminopropanoate deaminase activity [GO:0120243]"	0	1	0	0	0	0	0	0	0	0	0	1
"2-isopropylmalate synthase activity [GO:0003852]"	54	82	41	163	98	125	72	176	97	45	90	81
"2-keto-3-deoxy-L-rhamnonate aldolase activity [GO:0106099]"	0	0	0	2	0	0	1	1	2	0	1	0
"2-keto-3-deoxygluconate:proton symporter activity [GO:0015649]"	2	8	0	12	5	6	3	14	4	0	6	5
"2-methylcitrate dehydratase activity [GO:0047547]"	1	0	0	0	0	0	0	0	1	1	0	1
"2-methylcitrate synthase activity [GO:0050440]"	1	0	0	0	1	1	0	0	0	0	0	2
"2-methyleneglutarate mutase activity [GO:0047548]"	0	0	0	1	0	0	0	0	0	0	0	0
"2-methylisocitrate dehydratase activity [GO:0047456]"	2	7	3	4	3	2	4	5	3	1	4	9
"2-octaprenyl-6-methoxy-1,4-benzoquinone methylase activity [GO:0043333]"	1	1	2	1	1	1	1	1	1	1	1	1
"2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase activity [GO:0051997]"	0	0	0	0	0	0	0	0	1	1	1	0
"2-oxoglutaramate amidase activity [GO:0106008]"	0	1	0	0	2	2	1	5	4	1	2	3
"2-oxoglutarate carboxylase activity [GO:0034029]"	2	4	2	8	5	4	6	8	5	4	5	4
"2-oxoglutarate synthase activity [GO:0047553]"	6	4	6	7	5	5	5	5	5	4	4	5
"2-oxoglutarate-dependent dioxygenase activity [GO:0016706]"	0	8	2	0	7	0	4	0	4	10	5	8
"2-phosphosulfolactate phosphatase activity [GO:0050532]"	1	0	1	1	0	3	6	0	1	0	2	1
"2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity [GO:0008425]"	0	1	0	0	0	0	0	0	0	2	0	1
"2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase activity [GO:0070204]"	9	12	8	21	13	17	13	17	12	9	16	13
"2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase activity [GO:0070205]"	2	1	1	1	3	3	1	5	1	1	2	1
"2,2-dialkylglycine decarboxylase (pyruvate) activity [GO:0047432]"	0	0	0	0	0	0	1	0	0	0	0	0
"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity [GO:0046538]"	9	10	9	11	12	10	9	9	12	4	10	7
"2,3-bisphosphoglycerate-independent phosphoglycerate mutase activity [GO:0046537]"	69	83	58	167	131	152	70	193	94	50	93	108
"2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase activity [GO:0008667]"	0	0	0	2	1	0	0	1	1	0	1	0
"2,3-diketo-5-methylthiopentyl-1-phosphate enolase activity [GO:0043715]"	1	0	1	0	1	0	1	0	2	0	0	0
"2,3-dimethylmalate lyase activity [GO:0047529]"	0	0	0	0	1	1	1	0	0	0	0	0
"2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase activity [GO:0008666]"	2	4	2	2	2	2	2	2	2	0	2	2
"2,4-dienoyl-CoA reductase (NADPH) activity [GO:0008670]"	0	2	0	6	0	2	1	3	0	3	2	2
"2,5-didehydrogluconate reductase activity [GO:0050580]"	3	4	2	4	5	4	0	3	3	0	3	2
"2,5-dihydroxypyridine 5,6-dioxygenase activity [GO:0047075]"	0	0	0	0	0	1	1	0	0	0	0	0
"2,6-beta-fructan 6-levanbiohydrolase activity [GO:0033912]"	2	0	0	0	0	0	0	0	2	0	2	0
"2,6-dioxo-6-phenylhexa-3-enoate hydrolase activity [GO:0018774]"	1	0	0	0	0	1	0	0	0	0	0	0
"2'-5'-oligoadenylate synthetase activity [GO:0001730]"	0	4	3	0	4	0	3	0	2	8	5	5
"2'-5'-RNA ligase activity [GO:0008664]"	3	3	2	7	2	7	3	5	2	3	5	2
"2',3'-cyclic-nucleotide 2'-phosphodiesterase activity [GO:0008663]"	8	4	8	14	6	3	2	10	10	1	1	10
"2',3'-cyclic-nucleotide 3'-phosphodiesterase activity [GO:0004113]"	3	4	2	7	2	7	4	5	2	3	5	2
"23S rRNA (adenine(1618)-N(6))-methyltransferase activity [GO:0052907]"	1	1	1	1	1	1	1	1	1	2	1	1
"23S rRNA (adenine(2085)-N(6))-dimethyltransferase activity [GO:0052910]"	1	1	1	1	1	1	1	1	1	1	1	1
"23S rRNA (guanine(2445)-N(2))-methyltransferase activity [GO:0052915]"	5	8	5	21	11	16	9	17	10	5	5	8
"23S rRNA (guanine(745)-N(1))-methyltransferase activity [GO:0052911]"	2	2	2	6	1	5	3	8	2	1	2	4
"23S rRNA (guanine(748)-N(1))-methyltransferase activity [GO:0052912]"	1	0	0	0	0	0	0	0	0	0	0	0
"3 iron, 4 sulfur cluster binding [GO:0051538]"	84	96	66	126	135	98	91	120	112	46	93	94
"3-(hydroxyamino)phenol mutase activity [GO:0034022]"	0	3	0	3	1	3	0	4	2	0	1	3
"3-aminobutyryl-CoA ammonia-lyase activity [GO:0047459]"	1	0	0	1	1	0	0	0	1	0	0	1
"3-beta-hydroxy-delta5-steroid dehydrogenase activity [GO:0003854]"	0	3	3	1	4	2	6	2	1	6	3	3
"3-carboxy-cis,cis-muconate cycloisomerase activity [GO:0047472]"	0	2	0	1	0	1	0	2	0	0	0	0
"3-carboxymuconate cycloisomerase type II activity [GO:0018842]"	0	2	0	1	0	1	0	2	0	0	0	0
"3-chloroallyl aldehyde dehydrogenase activity [GO:0004028]"	0	0	0	0	0	0	1	0	0	1	0	1
"3-dehydro-L-gulonate 2-dehydrogenase activity [GO:0047559]"	4	3	5	11	13	7	4	9	14	2	8	5
"3-dehydro-L-gulonate-6-phosphate decarboxylase activity [GO:0033982]"	0	0	0	1	0	0	0	0	0	0	0	0
"3-dehydroquinate dehydratase activity [GO:0003855]"	36	60	34	117	70	77	49	91	61	26	62	47
"3-dehydroquinate synthase activity [GO:0003856]"	46	62	37	118	80	95	64	117	65	33	68	64
"3-dehydroshikimate dehydratase activity [GO:0046565]"	1	1	1	3	1	3	0	2	0	0	0	2
"3-demethylubiquinone-9 3-O-methyltransferase activity [GO:0008689]"	0	3	0	3	1	2	0	4	1	2	0	1
"3-deoxy-7-phosphoheptulonate synthase activity [GO:0003849]"	40	49	25	112	78	92	39	105	57	29	68	67
"3-deoxy-8-phosphooctulonate synthase activity [GO:0008676]"	7	11	5	11	9	15	9	15	8	8	13	11
"3-deoxy-manno-octulosonate cytidylyltransferase activity [GO:0008690]"	12	18	8	14	10	16	12	18	14	9	13	17
"3-deoxy-manno-octulosonate-8-phosphatase activity [GO:0019143]"	4	7	4	10	5	10	8	11	5	4	6	5
"3-hydroxy-arachidoyl-CoA dehydratase activity [GO:0102343]"	0	3	1	1	2	0	4	1	1	3	5	3
"3-hydroxy-behenoyl-CoA dehydratase activity [GO:0102344]"	0	3	1	1	2	0	4	1	1	3	5	3
"3-hydroxy-lignoceroyl-CoA dehydratase activity [GO:0102345]"	0	3	1	1	2	0	4	1	1	3	5	3
"3-hydroxyacyl-CoA dehydratase activity [GO:0018812]"	0	2	0	0	0	0	1	1	0	0	0	1
"3-hydroxyacyl-CoA dehydrogenase activity [GO:0003857]"	0	3	1	2	1	0	1	4	2	1	2	5
"3-hydroxyanthranilate 3,4-dioxygenase activity [GO:0000334]"	0	2	0	0	0	0	0	0	0	1	1	2
"3-hydroxybutyrate dehydrogenase activity [GO:0003858]"	2	0	1	1	3	0	3	5	2	1	3	1
"3-hydroxybutyryl-CoA dehydratase activity [GO:0003859]"	0	1	1	2	2	1	1	2	1	1	0	1
"3-hydroxybutyryl-CoA dehydrogenase activity [GO:0008691]"	9	18	10	38	21	20	11	31	19	10	16	23
"3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity [GO:0008693]"	25	30	17	79	40	51	33	56	38	24	32	37
"3-hydroxyisobutyrate dehydrogenase activity [GO:0008442]"	1	2	0	0	2	0	2	1	0	0	2	2
"3-hydroxyisobutyryl-CoA hydrolase activity [GO:0003860]"	0	2	0	0	2	0	0	0	0	2	4	2
"3-hydroxykynureninase activity [GO:0061981]"	0	0	0	0	1	1	1	0	0	0	0	0
"3-hydroxyoctanoyl-[acyl-carrier-protein] dehydratase activity [GO:0047451]"	25	30	17	79	40	51	33	56	38	24	32	37
"3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity [GO:0004317]"	25	30	17	79	40	51	33	56	38	24	32	37
"3-hydroxypropionate dehydrogenase (NADP+) activity [GO:0035527]"	0	0	0	0	0	0	0	0	1	0	0	0
"3-isopropylmalate dehydratase activity [GO:0003861]"	75	91	66	223	151	153	94	197	118	43	133	101
"3-isopropylmalate dehydrogenase activity [GO:0003862]"	36	53	31	118	74	79	52	105	61	30	64	64
"3-keto sterol reductase activity [GO:0000253]"	0	1	0	0	0	0	0	0	0	0	0	0
"3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity [GO:0003863]"	2	1	0	3	1	3	1	3	1	3	3	1
"3-methyl-2-oxobutanoate dehydrogenase (ferredoxin) activity [GO:0043807]"	1	1	1	0	3	0	1	2	0	1	4	1
"3-methyl-2-oxobutanoate hydroxymethyltransferase activity [GO:0003864]"	11	10	13	24	24	20	21	23	24	12	14	13
"3-octaprenyl-4-hydroxybenzoate carboxy-lyase activity [GO:0008694]"	0	0	0	1	0	0	0	0	0	0	0	0
"3-oxo-5-alpha-steroid 4-dehydrogenase activity [GO:0003865]"	3	3	3	3	3	3	3	3	4	5	3	5
"3-oxo-arachidoyl-CoA synthase activity [GO:0102336]"	1	3	1	1	4	0	8	1	0	4	4	3
"3-oxo-cerotoyl-CoA synthase activity [GO:0102337]"	1	3	1	1	4	0	8	1	0	4	4	3
"3-oxo-glutaryl-[acp] methyl ester reductase activity [GO:0102131]"	42	50	38	121	70	98	52	120	69	31	56	56
"3-oxo-lignoceronyl-CoA synthase activity [GO:0102338]"	1	3	1	1	4	0	8	1	0	4	4	3
"3-oxo-pimeloyl-[acp] methyl ester reductase activity [GO:0102132]"	42	50	38	121	70	98	52	120	69	31	56	56
"3-oxoacid CoA-transferase activity [GO:0008260]"	1	1	2	0	2	0	1	0	0	0	0	0
"3-oxoacyl-[acyl-carrier-protein] reductase (NADH) activity [GO:0047025]"	0	0	0	0	0	0	0	1	0	0	0	0
"3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity [GO:0004316]"	42	50	39	121	70	98	52	120	69	31	57	56
"3-oxoacyl-[acyl-carrier-protein] synthase activity [GO:0004315]"	93	161	78	266	160	201	107	233	146	76	128	168
"3-oxoadipate enol-lactonase activity [GO:0047570]"	0	0	0	0	1	0	0	2	0	0	0	1
"3-oxosteroid 1-dehydrogenase activity [GO:0047571]"	0	0	0	3	0	1	0	0	0	0	0	1
"3-phosphoshikimate 1-carboxyvinyltransferase activity [GO:0003866]"	43	59	46	140	96	93	52	118	83	32	78	85
"3,4-dihydroxy-2-butanone-4-phosphate synthase activity [GO:0008686]"	23	22	15	49	41	37	18	38	31	15	27	30
"3,4-dihydroxyphenylacetate 2,3-dioxygenase activity [GO:0008687]"	0	0	0	0	1	0	0	0	0	0	0	0
"3' overhang single-stranded DNA endodeoxyribonuclease activity [GO:1990599]"	0	1	0	0	0	0	2	0	0	1	0	1
"3'-5' DNA helicase activity [GO:0043138]"	42	88	40	146	83	119	51	139	70	62	75	90
"3'-5' DNA/RNA helicase activity [GO:0033679]"	1	0	0	0	0	0	1	0	0	2	0	2
"3'-5' exonuclease activity [GO:0008408]"	415	586	356	1096	743	944	498	1119	642	306	640	648
"3'-5' RNA helicase activity [GO:0034458]"	0	3	0	3	0	3	4	4	1	3	2	1
"3'-5'-exodeoxyribonuclease activity [GO:0008296]"	0	1	0	0	0	0	0	0	0	0	0	1
"3'-5'-exoribonuclease activity [GO:0000175]"	9	27	8	22	16	20	17	29	12	16	15	21
"3'-flap endonuclease activity [GO:0048257]"	1	1	0	0	1	0	0	0	0	0	0	1
"3'-nucleotidase activity [GO:0008254]"	3	4	3	3	3	1	1	4	4	3	0	7
"3'-tRNA processing endoribonuclease activity [GO:0042781]"	22	25	14	57	41	47	24	48	34	12	32	26
"3',5'-cyclic-AMP phosphodiesterase activity [GO:0004115]"	4	15	4	6	7	3	15	6	7	16	8	7
"3',5'-cyclic-GMP phosphodiesterase activity [GO:0047555]"	0	4	2	0	0	0	6	1	0	7	2	5
"3',5'-cyclic-nucleotide phosphodiesterase activity [GO:0004114]"	6	44	7	1	14	3	33	14	6	44	39	22
"3',5'-nucleotide bisphosphate phosphatase activity [GO:0097657]"	0	1	0	0	0	0	0	1	1	3	0	3
"3'(2'),5'-bisphosphate nucleotidase activity [GO:0008441]"	2	5	2	6	7	5	5	6	8	5	3	5
"3alpha,7alpha,12alpha-trihydroxy-5beta-cholest-24-enoyl-CoA hydratase activity [GO:0033989]"	0	0	0	0	0	0	0	0	0	0	0	1
"3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase activity [GO:0102481]"	3	1	1	10	2	7	3	6	1	2	1	1
"4 iron, 4 sulfur cluster binding [GO:0051539]"	1516	2202	1372	4681	2829	3586	2091	4274	2517	1098	2476	2479
"4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity [GO:0050515]"	37	52	36	101	64	89	42	88	59	29	46	52
"4-alpha-glucanotransferase activity [GO:0004134]"	97	120	70	212	163	158	107	220	160	70	158	139
"4-alpha-hydroxytetrahydrobiopterin dehydratase activity [GO:0008124]"	0	0	0	0	1	0	0	0	0	0	1	0
"4-amino-4-deoxy-L-arabinose transferase activity [GO:0103015]"	1	2	1	4	2	1	1	4	2	1	2	1
"4-amino-4-deoxychorismate lyase activity [GO:0008696]"	2	3	1	1	3	2	1	2	2	0	1	3
"4-amino-4-deoxychorismate synthase activity [GO:0046820]"	6	8	4	15	5	13	2	13	6	3	9	8
"4-aminobutyrate transaminase activity [GO:0003867]"	0	0	1	0	0	0	0	0	1	0	1	1
"4-aminobutyrate:2-oxoglutarate transaminase activity [GO:0034386]"	1	0	0	1	3	0	5	3	2	4	1	2
"4-carboxy-2-hydroxymuconate semialdehyde hemiacetal dehydrogenase activity [GO:0050606]"	0	0	0	1	0	0	0	0	0	0	0	0
"4-carboxymuconolactone decarboxylase activity [GO:0047575]"	3	0	0	0	0	0	0	0	1	0	0	0
"4-chlorobenzoyl-CoA dehalogenase activity [GO:0018787]"	1	0	2	0	1	0	3	0	2	0	1	1
"4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase activity [GO:0008697]"	23	16	13	30	29	22	16	23	21	15	25	15
"4-hydroxy-2-oxoglutarate aldolase activity [GO:0008700]"	6	7	6	8	15	8	6	8	11	7	10	6
"4-hydroxy-2-oxovalerate aldolase activity [GO:0008701]"	2	2	4	4	3	5	2	7	1	1	2	4
"4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity [GO:0051745]"	57	63	48	145	91	99	68	128	71	44	84	79
"4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity [GO:0046429]"	31	68	31	124	72	84	51	107	58	36	67	62
