"Function"	"logFC"	"logCPM"	"LR"	"PValue"	"FDR"
"methylmalonate-semialdehyde dehydrogenase (acylating) activity [GO:0004491]"	-0.834412071839062	5.64635368275454	7.80591895731615	0.00520753766505695	0.231214672328529
"rhamnulose-1-phosphate aldolase activity [GO:0008994]"	-0.603501027568149	6.04083635735998	7.28693679605238	0.00694578066683832	0.298444511233182
"arabinogalactan endo-1,4-beta-galactosidase activity [GO:0031218]"	-0.594877573570116	6.49792493807232	7.14443147099599	0.00751971092754104	0.30656699630117
"NADH peroxidase activity [GO:0016692]"	0.729693774360265	6.14376627680912	7.12004921516256	0.0076226613788338	0.30656699630117
"glucosidase activity [GO:0015926]"	-0.60309755022456	6.42800480913228	7.04633813612489	0.00794274636365934	0.30656699630117
"anthranilate phosphoribosyltransferase activity [GO:0004048]"	-0.675778305452167	6.33141445201647	6.98472989438278	0.00822080588454041	0.30656699630117
"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase activity [GO:0046538]"	-0.757699884379085	5.51559187750614	6.92538362763168	0.00849807611749726	0.30656699630117
"P-type monovalent copper transporter activity [GO:0140581]"	0.300209482475866	8.0862207548195	6.92166821117189	0.00851574989725471	0.30656699630117
"glycopeptide alpha-N-acetylgalactosaminidase activity [GO:0033926]"	0.759790162329585	6.04759221801869	6.64514017826769	0.00994266549751256	0.348516590597019
"biotin binding [GO:0009374]"	0.67754066875734	5.71109315106929	6.43708140943682	0.011176212193656	0.381710631844865
"sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyceronetransferase activity [GO:0004801]"	-0.602184259832357	6.61295085782271	6.24351863657444	0.0124648590913534	0.415079807742067
"thiosulfate sulfurtransferase activity [GO:0004792]"	-0.689293130073225	5.86664083508065	6.15839590933824	0.0130789764476809	0.424907234836853
"serine-type carboxypeptidase activity [GO:0004185]"	0.986780092139709	5.26139704288166	6.04092035425269	0.0139779953535958	0.429821676260307
"indole-3-glycerol-phosphate synthase activity [GO:0004425]"	-0.569525681471271	6.21007332357643	6.03935354700444	0.013990406251039	0.429821676260307
"pyruvate carboxylase activity [GO:0004736]"	0.524215382644903	6.21605605870347	5.93114966210211	0.0148755339680532	0.429821676260307
"1,4-alpha-oligoglucan phosphorylase activity [GO:0004645]"	0.349825068860612	8.11885134973106	5.91880416076986	0.0149801224976856	0.429821676260307
"beta-fructofuranosidase activity [GO:0004564]"	-0.427952003332406	7.90490869238289	5.91587541215261	0.0150050451899583	0.429821676260307
"succinate dehydrogenase activity [GO:0000104]"	-0.445209365342621	8.29937733561903	5.89703670409069	0.0151663804686445	0.429821676260307
"deoxyuridine phosphorylase activity [GO:0047847]"	0.492580336540954	6.71676450498454	5.85273384870535	0.0155528716899509	0.431592189396138
"nicotinamide riboside transmembrane transporter activity [GO:0034257]"	0.613821485077173	6.06461746568945	5.74727813665947	0.0165142244944648	0.448917286257696
"molybdate ion transmembrane transporter activity [GO:0015098]"	-0.66178381025027	6.31170760118546	5.60386585666376	0.0179208914295142	0.477412547682258
"uroporphyrinogen decarboxylase activity [GO:0004853]"	-0.604832579679822	8.61850357770716	5.53490408035305	0.0186407872089209	0.479602188987203
"mannosyl-oligosaccharide glucosidase activity [GO:0004573]"	-0.720598582689725	5.55348831841299	5.52718467284462	0.01872320857908	0.479602188987203
"thymidine phosphorylase activity [GO:0009032]"	0.474257002158305	6.74999699407854	5.44505661920938	0.0196237789124858	0.487198308828354
"ethanolamine ammonia-lyase activity [GO:0008851]"	0.635026831037511	5.94185176312883	5.4294772256766	0.0197996054361158	0.487198308828354
"polygalacturonase activity [GO:0004650]"	-0.497688926068456	7.92327168431532	5.40170868490018	0.020117047286456	0.487198308828354
"galactoside 2-alpha-L-fucosyltransferase activity [GO:0008107]"	0.614524373165371	6.94744452462696	5.35681097263496	0.020641486360861	0.490972497011908
"protein-N(PI)-phosphohistidine-fructose phosphotransferase system transporter activity [GO:0022877]"	-0.568092384854228	6.80885495952563	5.25963355253807	0.0218256137531121	0.50382759187893
"cysteine-type exopeptidase activity [GO:0070004]"	-0.450510312990375	7.31758979965684	5.23147132863091	0.0221817609280512	0.50382759187893
"adenyl-nucleotide exchange factor activity [GO:0000774]"	0.279990334149471	7.669008084181	5.18461919525881	0.0227876655211831	0.50382759187893
"amylo-alpha-1,6-glucosidase activity [GO:0004135]"	0.656542358616822	6.13849309685517	5.15295196957717	0.0232068885176022	0.50382759187893
"phosphoenolpyruvate carboxykinase (GTP) activity [GO:0004613]"	0.575713198312134	6.02312134878995	5.15248436047354	0.0232131384640709	0.50382759187893
"protein-N(PI)-phosphohistidine-mannitol phosphotransferase system transmembrane transporter activity [GO:0022872]"	-0.492702908679543	6.98598235437296	5.13475220945411	0.0234514344568271	0.50382759187893
"alanine dehydrogenase activity [GO:0000286]"	0.545529097411232	5.9910094333202	5.09886683407203	0.0239414790867841	0.504246340920503
"N-acetylglucosamine-6-phosphate deacetylase activity [GO:0008448]"	0.318000154010798	8.39261631143308	5.07823278946849	0.0242280524166008	0.504246340920503
"4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase activity [GO:0008697]"	-0.526230132052209	6.51959256553508	4.98720567859339	0.0255354124298062	0.51012729036861
"phenylacetate-CoA ligase activity [GO:0047475]"	0.39643287374	7.37148754942705	4.98402861925038	0.0255823437737651	0.51012729036861
"protein histidine kinase activity [GO:0004673]"	0.376059646139379	7.30167310222232	4.96448057108575	0.0258730848766626	0.51012729036861
"L-seryl-tRNASec selenium transferase activity [GO:0004125]"	0.923696407776765	5.25541432110431	4.95062114483506	0.0260812963050115	0.51012729036861
"inorganic anion transmembrane transporter activity [GO:0015103]"	-0.557700737154992	5.89449894548225	4.89610992946532	0.0269172653853992	0.51012729036861
"phosphate butyryltransferase activity [GO:0050182]"	1.03235181335751	5.27475345245434	4.84095997093472	0.0277914201549012	0.51012729036861
"N-acylglucosamine-6-phosphate 2-epimerase activity [GO:0047465]"	0.564339171702704	6.43324982560354	4.83986856517204	0.0278090144733036	0.51012729036861
"O-acetylhomoserine aminocarboxypropyltransferase activity [GO:0003961]"	-0.423670357639298	6.96889854565895	4.83509637881585	0.0278860820929329	0.51012729036861
"beta-glucuronidase activity [GO:0004566]"	-1.00286706581487	5.14984201188823	4.83069079661862	0.0279574265742556	0.51012729036861
"2-hydroxy-3-oxopropionate reductase activity [GO:0008679]"	-0.682083058211065	5.70274715558866	4.69246792204387	0.03029510528224	0.530111308607718
"precorrin-4 C11-methyltransferase activity [GO:0046026]"	-0.57700920942001	6.69268037580671	4.67910365209331	0.030531675406452	0.530111308607718
"molybdenum ion binding [GO:0030151]"	-0.607517980445125	7.01054255437378	4.6756049836701	0.0305939252433513	0.530111308607718
"dolichyl-phosphate beta-D-mannosyltransferase activity [GO:0004582]"	0.672762020377539	5.34613234349058	4.65331851094783	0.0309935746360441	0.530111308607718
"phosphopentomutase activity [GO:0008973]"	0.413662351935359	7.44650302425782	4.62884400027105	0.0314387393808689	0.530111308607718
"5'-flap endonuclease activity [GO:0017108]"	0.501145515563295	6.32917986198578	4.6287459821953	0.0314405355705779	0.530111308607718
"carbohydrate:proton symporter activity [GO:0005351]"	-0.525431014599969	7.05535801380053	4.56840082177253	0.0325669530980992	0.536835943609936
"cellobiose epimerase activity [GO:0047736]"	-0.663045821871155	6.04678182834768	4.56427815468911	0.0326454290033069	0.536835943609936
"alpha-L-rhamnosidase activity [GO:0030596]"	-0.42075675334504	8.79707635029366	4.49875148695906	0.0339196106377504	0.539958603520817
"glutamate synthase activity [GO:0015930]"	-0.334238644259965	8.22269726177219	4.49692756347634	0.0339558116974142	0.539958603520817
"aspartate-tRNA(Asn) ligase activity [GO:0050560]"	-0.323744128284739	7.76763024681109	4.48023073060868	0.0342890916228356	0.539958603520817
"glycerate kinase activity [GO:0008887]"	-0.361130385323237	7.93204310590316	4.47189194812713	0.0344568177922443	0.539958603520817
"cobyrinic acid a,c-diamide synthase activity [GO:0042242]"	-0.49552409386471	7.24469845435921	4.36316223212337	0.0367240750778152	0.565853209618483
"uridine kinase activity [GO:0004849]"	0.395373177395612	6.99510915337976	4.33100120183086	0.037424226363538	0.565853209618483
"NADP+ binding [GO:0070401]"	0.315341146382235	7.50041017185617	4.32221438104298	0.0376179388843675	0.565853209618483
"threonine-phosphate decarboxylase activity [GO:0048472]"	-0.574019422413539	7.17046573266739	4.31361618207085	0.037808510252286	0.565853209618483
"precorrin-8X methylmutase activity [GO:0016993]"	-0.560939883118582	6.637680407893	4.22241252206657	0.0398934010724796	0.58354032589934
"tryptophan synthase activity [GO:0004834]"	-0.271024930095523	8.57388426786591	4.21885011061659	0.0399772441255126	0.58354032589934
"ABC-type vitamin B12 transporter activity [GO:0015420]"	-0.454498667082585	8.05735050055299	4.20501629722929	0.0403045870741286	0.58354032589934
"[citrate (pro-3S)-lyase] ligase activity [GO:0008771]"	0.573228318398673	6.39727116985523	4.17776836279129	0.0409575984531733	0.586618506877708
"N-acylmannosamine-6-phosphate 2-epimerase activity [GO:0009385]"	0.538577716092072	6.42084960630067	4.1378367074076	0.0419347277543895	0.592361001066162
"3-methyl-2-oxobutanoate hydroxymethyltransferase activity [GO:0003864]"	-0.510461167233587	6.27523241452984	4.10491392081527	0.0427587680337557	0.592361001066162
"pantoate-beta-alanine ligase activity [GO:0004592]"	-0.508974324834187	6.11429022533796	4.08582746157423	0.0432442723860054	0.592361001066162
"cyclic-guanylate-specific phosphodiesterase activity [GO:0071111]"	1.10024981161281	5.00762003611683	4.08143669615352	0.0433567789093377	0.592361001066162
"phosphoribosylanthranilate isomerase activity [GO:0004640]"	-0.557218869689255	6.16277254086821	4.06588501894319	0.0437577494605587	0.592361001066162
"citrate transmembrane transporter activity [GO:0015137]"	-0.589333633364006	5.67022865406864	4.05553250295896	0.0440268311603228	0.592361001066162
"transferase activity, transferring phosphorus-containing groups [GO:0016772]"	-0.262540810540867	8.05283347221254	3.99764582352038	0.0455638628069148	0.59830442363914
"uridine phosphorylase activity [GO:0004850]"	0.263409266028601	7.84884077818086	3.98288406456809	0.0459647977895	0.59830442363914
"beta-N-acetylhexosaminidase activity [GO:0004563]"	0.436006319762756	8.80646372642093	3.97390945184097	0.0462103673165264	0.59830442363914
"diaminopropionate ammonia-lyase activity [GO:0008838]"	-0.412362122670575	6.65348247081123	3.97190940988432	0.0462652820081317	0.59830442363914
"coproporphyrinogen dehydrogenase activity [GO:0051989]"	0.413389503524798	6.92348327647767	3.91938299357209	0.0477323957809364	0.611341838271224
"4-hydroxy-2-oxoglutarate aldolase activity [GO:0008700]"	-0.673256716600342	5.35329716925088	3.86953652070003	0.0491700979690258	0.616407439139407
"cobalt ion binding [GO:0050897]"	-0.447954859019151	6.09135722131512	3.85221016278187	0.0496804841548517	0.616407439139407
"peptide-methionine (S)-S-oxide reductase activity [GO:0008113]"	-0.487034075461945	5.81954191242448	3.84663661052619	0.0498458526891614	0.616407439139407
"3-dehydro-L-gulonate 2-dehydrogenase activity [GO:0047559]"	-0.799181100971816	5.1342051856803	3.82794280612261	0.0504047619680708	0.616407439139407
"N-acetyl-beta-D-galactosaminidase activity [GO:0102148]"	0.429559922208232	8.79404241352971	3.81359957934477	0.0508380863256224	0.616407439139407
"deaminase activity [GO:0019239]"	-0.566527269689546	6.40621952909665	3.81141208422572	0.0509045182472483	0.616407439139407
"N-acylneuraminate cytidylyltransferase activity [GO:0008781]"	-0.634429206640632	5.22463961658682	3.75632876676749	0.0526079661683695	0.631295594020433
"sodium ion binding [GO:0031402]"	-0.287478480425341	7.33491174296507	3.7069158260833	0.0541874303669615	0.644443368292793
"endodeoxyribonuclease activity [GO:0004520]"	-0.357887549523481	7.2782327031583	3.53604963056095	0.0600483160840496	0.707826168353576
"glycine reductase activity [GO:0030699]"	0.56242584078661	5.73109644462393	3.48022641712354	0.0621062415480793	0.724510263253191
"aryl sulfotransferase activity [GO:0004062]"	-0.639866955866569	5.81991670408251	3.46762344437246	0.0625811620796946	0.724510263253191
"trehalose transmembrane transporter activity [GO:0015574]"	-0.874699362136378	5.31872851841903	3.4407757110903	0.0636058226814698	0.724510263253191
"acetylglutamate kinase activity [GO:0003991]"	-0.21119159385494	7.97975748234663	3.43990336062096	0.063639415015483	0.724510263253191
"molybdenum cofactor guanylyltransferase activity [GO:0061603]"	-0.548358765246503	5.52810533330368	3.32371246416866	0.0682874635868268	0.770838148285197
"beta-maltose 4-alpha-glucanotransferase activity [GO:0102500]"	-0.265555769221177	8.93256964842391	3.3024133863245	0.0691781757915104	0.772084553514178
"phosphonopyruvate decarboxylase activity [GO:0033980]"	0.43786401690105	6.56462072960436	3.29343962543844	0.0695571669832593	0.772084553514178
"alpha-L-fucosidase activity [GO:0004560]"	0.375088833449037	9.04915418847149	3.25312607512738	0.0712873773448404	0.784750302672128
"precorrin-2 C20-methyltransferase activity [GO:0030788]"	-0.420856956069964	6.3009408385255	3.20863667970815	0.0732504942223634	0.788824552451246
"methionine adenosyltransferase activity [GO:0004478]"	0.225599210789839	8.61973495818594	3.20836593792437	0.0732626168575307	0.788824552451246
"L-methionine:thioredoxin-disulfide S-oxidoreductase activity [GO:0033744]"	-0.46090095996659	5.79619667784877	3.20454085793049	0.0734341174954613	0.788824552451246
"phosphogluconate dehydrogenase (decarboxylating) activity [GO:0004616]"	-0.529973810040709	5.88775953245875	3.17789333492439	0.0746409053227646	0.793859412904568
"aminoacyl-tRNA hydrolase activity [GO:0004045]"	0.216286806422194	7.71106131803082	3.16799004090667	0.0750948093288105	0.793859412904568
"proline:sodium symporter activity [GO:0005298]"	-0.26884867924148	7.29501666934551	3.12968757940101	0.0768784720537714	0.801692463577811
"N-acetylneuraminate synthase activity [GO:0050462]"	0.582254680884826	5.43319032487805	3.12627644308406	0.0770395160194893	0.801692463577811
"geranyltranstransferase activity [GO:0004337]"	0.655861592379378	5.17751405088902	3.07573352574899	0.0794687373088382	0.816775147596452
"dimethylmaleate hydratase activity [GO:0047868]"	0.543738216773764	5.61951517735615	3.07069689640355	0.0797152921828369	0.816775147596452
"aminoglycoside 3-N-acetyltransferase activity [GO:0046353]"	-0.511407735618191	6.11864844410968	3.03991589571083	0.081240126057064	0.822655953478983
"DNA topoisomerase activity [GO:0003916]"	0.227041524299443	8.09099434789034	3.03424507333129	0.0815244638582776	0.822655953478983
"metalloexopeptidase activity [GO:0008235]"	0.304360003144185	7.45071773988355	2.87390753733252	0.0900260494511348	0.899387205718161
"glutamate-1-semialdehyde 2,1-aminomutase activity [GO:0042286]"	0.452541139961864	6.27042221294441	2.86583234224268	0.0904788930677429	0.899387205718161
"dCTP deaminase activity [GO:0008829]"	0.722163544674508	5.17892893110632	2.84417237051049	0.09170580452368	0.899712112556271
"asparagine-tRNA ligase activity [GO:0004816]"	0.22597252724835	8.01523411570013	2.83551433415519	0.0922012762010285	0.899712112556271
"phosphotransferase activity, for other substituted phosphate groups [GO:0016780]"	0.369531159143783	6.68212540982333	2.82965984855044	0.0925379575226795	0.899712112556271
"RNA ligase activity [GO:0008452]"	-0.229911400849718	8.05547819732217	2.7676482597722	0.0961873855316622	0.928417373392566
"thiaminase activity [GO:0050334]"	-0.464038080222159	5.7433728310734	2.70653766111589	0.0999376824301352	0.944382926575519
"GTP cyclohydrolase I activity [GO:0003934]"	0.309585569734728	6.60960190733974	2.70063464076812	0.100308310497589	0.944382926575519
"carbon-nitrogen ligase activity, with glutamine as amido-N-donor [GO:0016884]"	-0.351286870872148	6.91797265759066	2.6980899531055	0.100468544598997	0.944382926575519
"1,4-dihydroxy-2-naphthoyl-CoA synthase activity [GO:0008935]"	-0.465905983257385	5.61481141333332	2.68007894786036	0.101610690792118	0.944382926575519
"lipoate-protein ligase activity [GO:0016979]"	0.451930715947966	6.39528647753549	2.67348145194362	0.10203260857644	0.944382926575519
"alpha,alpha-phosphotrehalase activity [GO:0008788]"	-0.586318858192772	5.47745766068314	2.67250133489883	0.102095451521678	0.944382926575519
"1-acylglycerol-3-phosphate O-acyltransferase activity [GO:0003841]"	0.456809885097041	7.22102830327605	2.64586779523931	0.103819450907192	0.95104678829692
"peptidoglycan binding [GO:0042834]"	0.299699494482405	7.1347770607621	2.6393853550238	0.104243867185698	0.95104678829692
"peptide-methionine (R)-S-oxide reductase activity [GO:0033743]"	-0.458542669639782	5.9255190873254	2.61919884889163	0.105577733563253	0.956663544940493
"transferase activity, transferring hexosyl groups [GO:0016758]"	0.187463484444378	8.23722333059805	2.60048096957936	0.106831289553836	0.961481605984524
"lactaldehyde reductase activity [GO:0008912]"	-0.544367362244733	5.68966678305828	2.58883610026034	0.107619392583179	0.962074033025462
"oxygen binding [GO:0019825]"	0.863746025685752	5.10955283919488	2.57328845722349	0.108681594952284	0.965092563176283
"cyclic pyranopterin monophosphate synthase activity [GO:0061799]"	-0.483842390740679	6.11838541202757	2.55478852046467	0.109960527437019	0.969982930768932
"nicotinate phosphoribosyltransferase activity [GO:0004516]"	0.225224510013295	8.40346445409855	2.54059793119612	0.110952762162609	0.970104193903383
"glutamate:sodium symporter activity [GO:0015501]"	0.423273807164328	6.72202682898254	2.53380971941502	0.111430887137551	0.970104193903383
"dethiobiotin synthase activity [GO:0004141]"	0.45018171939247	5.95169347949234	2.50869893466637	0.113219371155281	0.979274041421003
"phosphopantetheine binding [GO:0031177]"	0.448139063336094	6.37597421333062	2.49409548051175	0.114274013060562	0.981102905360895
"xylose isomerase activity [GO:0009045]"	-0.583846240118455	5.69328292781839	2.48544364650773	0.114903943871096	0.981102905360895
"ATP phosphoribosyltransferase activity [GO:0003879]"	-0.222039298488145	7.62278795100686	2.47140255037993	0.115934431218903	0.983596575691586
"glutamate racemase activity [GO:0008881]"	0.23800811204382	7.83330229610126	2.44231896142824	0.118101516992208	0.990704879049183
"glutamate-cysteine ligase activity [GO:0004357]"	0.615833689730563	5.74117697374889	2.44021764102529	0.118259816643258	0.990704879049183
"queuine tRNA-ribosyltransferase activity [GO:0008479]"	0.168530732773575	8.11283770078837	2.37948525164589	0.122938049770539	0.99954851282426
"oxidoreductase activity, acting on CH or CH2 groups, NAD or NADP as acceptor [GO:0016726]"	0.2558375964587	7.69635541962219	2.36368074112784	0.124188861464968	0.99954851282426
"aspartate ammonia-lyase activity [GO:0008797]"	-0.464363279417249	5.85224542990046	2.36143795285268	0.124367503554517	0.99954851282426
"cobalt-precorrin-5B C1-methyltransferase activity [GO:0043780]"	-0.408173646050163	6.90057589463568	2.35247499803952	0.125084273461898	0.99954851282426
"threonine-tRNA ligase activity [GO:0004829]"	0.185081190198691	8.79375644031405	2.34481677216903	0.125700340719799	0.99954851282426
"2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase activity [GO:0050518]"	0.21588371805376	7.9771155706861	2.34413885902877	0.1257550378033	0.99954851282426
"glycerophosphodiester phosphodiesterase activity [GO:0008889]"	0.51120025878758	5.60605788350338	2.3230382299503	0.127470834641219	0.99954851282426
"phosphoribosylformylglycinamidine cyclo-ligase activity [GO:0004641]"	-0.200746936544394	8.29713909910133	2.32077460624334	0.127656442528401	0.99954851282426
"CDP-glycerol glycerophosphotransferase activity [GO:0047355]"	0.279800873552962	8.96840333381339	2.30969329176268	0.128569416901042	0.99954851282426
"FAD binding [GO:0071949]"	-0.181524992908153	9.5737462980497	2.30306903457767	0.129118651498471	0.99954851282426
"oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]"	-0.256579436895971	7.61057488451862	2.29630217139712	0.129682410318211	0.99954851282426
"5'-nucleotidase activity [GO:0008253]"	0.224659703798563	7.5469261983631	2.21771662862064	0.136434711822693	0.99954851282426
"pseudouridylate synthase activity [GO:0004730]"	0.472757079788673	5.54570621833132	2.18743766033619	0.139140616562523	0.99954851282426
"tyrosine-based site-specific recombinase activity [GO:0009037]"	-0.212561543071065	7.48212454978576	2.18729864981011	0.139153177320585	0.99954851282426
"DNA N-glycosylase activity [GO:0019104]"	0.208139325659723	8.80681857938404	2.17197378536414	0.140545742132545	0.99954851282426
"ADP binding [GO:0043531]"	0.445397860727492	6.59091732364506	2.17159915851875	0.140579979704706	0.99954851282426
"aconitate hydratase activity [GO:0003994]"	-0.270781554025872	6.91280435781171	2.12858854328884	0.14457382878021	0.99954851282426
"citrate dehydratase activity [GO:0047780]"	-0.270781554025872	6.91280435781171	2.12858854328884	0.14457382878021	0.99954851282426
"hydrolase activity, hydrolyzing N-glycosyl compounds [GO:0016799]"	0.413567852573531	5.76189917023807	2.12582993044918	0.144834311061594	0.99954851282426
"long-chain fatty acid-CoA ligase activity [GO:0004467]"	0.566273203357661	6.44603392946077	2.1095266480562	0.146384591508851	0.99954851282426
"4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase activity [GO:0046429]"	0.17022940992967	8.0071707342102	2.10303924924587	0.147006675858665	0.99954851282426
"hydrolase activity, acting on glycosyl bonds [GO:0016798]"	0.204044439097339	10.1400350242463	2.08971620430725	0.148293615765214	0.99954851282426
"N-acetylglucosaminyldiphosphoundecaprenol N-acetyl-beta-D-mannosaminyltransferase activity [GO:0047244]"	0.364085074075985	6.25715900750004	2.07575071980216	0.149656289046906	0.99954851282426
"2-aminoethylphosphonate-pyruvate transaminase activity [GO:0047304]"	0.526216535719065	5.25570067864222	2.06936345435383	0.150284234931801	0.99954851282426
"pyruvate synthase activity [GO:0019164]"	0.346024210916938	7.12551148804841	2.06048236594377	0.151162312694138	0.99954851282426
"dihydroneopterin aldolase activity [GO:0004150]"	0.255288149276085	6.75100925774408	2.03227140109887	0.15399031526068	0.99954851282426
"membrane insertase activity [GO:0032977]"	0.180908317249369	8.64087247513558	2.02970786885786	0.154250254163296	0.99954851282426
"holo-[acyl-carrier-protein] synthase activity [GO:0008897]"	0.293113007686823	7.51318025133108	2.00559948008493	0.156719328614327	0.99954851282426
"deoxyribonuclease activity [GO:0004536]"	-0.267699162381714	6.55666728277672	2.00305677187341	0.156982348108822	0.99954851282426
"mannonate dehydratase activity [GO:0008927]"	-0.195518616081412	7.59176619869704	1.99338130946339	0.157987782331238	0.99954851282426
"3'-5'-exoribonuclease activity [GO:0000175]"	0.41481042604528	6.28029844292749	1.98846067452223	0.158501922459126	0.99954851282426
"dTDP-4-dehydrorhamnose reductase activity [GO:0008831]"	0.190692439716115	7.76764032445256	1.94045673249204	0.163618951387052	0.99954851282426
"xylulokinase activity [GO:0004856]"	-0.248564027590029	8.24283825626428	1.93853912414948	0.16382724154021	0.99954851282426
"cytosine transmembrane transporter activity [GO:0015209]"	0.489391334814128	6.36343809683699	1.92482936248039	0.165325250506135	0.99954851282426
"dimethyl sulfoxide reductase activity [GO:0009389]"	-0.573450643566003	5.53526666503476	1.90267394942516	0.167779324174795	0.99954851282426
"GTP 3',8'-cyclase activity [GO:0061798]"	-0.353132657027482	6.66224852544922	1.89904232536829	0.168185552468831	0.99954851282426
"deoxyribonuclease IV (phage-T4-induced) activity [GO:0008833]"	0.247133763777209	7.18199986592948	1.89645328121141	0.168475847540358	0.99954851282426
"rRNA (cytosine-2'-O-)-methyltransferase activity [GO:0070677]"	0.194867198003911	7.86849935999716	1.89547476758737	0.168585712335965	0.99954851282426
"allantoinase activity [GO:0004038]"	-0.385900762107301	5.71551946326635	1.89524207844031	0.1686118501141	0.99954851282426
"thymidylate synthase activity [GO:0004799]"	0.285943004661416	7.14376441556375	1.88434675428372	0.169840932101366	0.99954851282426
"aspartate carbamoyltransferase activity [GO:0004070]"	-0.166850180506379	8.09120439580515	1.88137276194966	0.170178206392831	0.99954851282426
"diaminopimelate dehydrogenase activity [GO:0047850]"	0.289224252348041	6.77149125095282	1.8797771863689	0.170359474119096	0.99954851282426
